NM_ESTADO,VR_GASTO
ACRE,6523468.890000049
ALAGOAS,4481521.340000039
AMAPÁ,3505843.340000033
AMAZONAS,6974480.829999937
BAHIA,17141019.769999843
CEARÁ,14810338.459999856
DISTRITO FEDERAL,11703310.790000064
ESPÍRITO SANTO,5957364.600000044
GOIÁS,10772458.299999837
MARANHÃO,9197557.449999992
MATO GROSSO,5479220.140000024
MATO GROSSO DO SUL,8427671.37000005
MINAS GERAIS,30477603.669999007
PARANÁ,16327040.379999578
PARAÍBA,8453142.750000045
PARÁ,8791930.539999891
PERNAMBUCO,12405568.219999792
PIAUÍ,11121957.74999983
RIO DE JANEIRO,19742076.239999972
RIO GRANDE DO NORTE,7663116.119999971
RIO GRANDE DO SUL,27403456.640000414
RONDÔNIA,5469091.3900000295
RORAIMA,7472408.440000025
SANTA CATARINA,13749299.16999918
SERGIPE,6486903.830000003
SÃO PAULO,58575709.580004275
TOCANTINS,5785748.8499999875
